ra,dec,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,w1mpro,w2mpro,w3mpro,w4mpro,pn_8_rate,pn_9_rate,m1_8_rate,m1_9_rate,m2_8_rate,m2_9_rate,col9
23.47581354,0.027688889,23.050217,21.245615,19.708742,18.488823,17.813894,15.367,15.323,12.492,9.147,0,0,0.00195872,0.00157438,0.00231008,0.00143487,0
23.47581354,0.027697222,23.050217,21.245615,19.708742,18.488823,17.813894,15.367,15.323,12.492,9.147,0.00948097,0.00620249,0,0,0.00205719,0.00152198,0
15.27130367,0.072894444,21.893665,20.868914,19.061602,18.321224,17.993555,14.829,14.713,12.299,8.348,0.00266338,0.00176938,0.00078741,0.000644437,0.00157399,0.00155748,0
18.85664083,0.087258333,22.734528,21.018909,19.634378,18.226992,17.493286,15.021,14.873,12.325,8.622,0.00349928,0.000922228,0.00137413,0.000977898,0.000155721,0,0
18.85664083,0.087897222,22.734528,21.018909,19.634378,18.226992,17.493286,15.021,14.873,12.325,8.622,0.00207891,0.00102856,0.00152412,0.000266616,0.000310857,0.000252147,0
22.24272519,0.090952778,22.670631,21.75597,19.852289,19.188482,18.774643,15.621,15.533,12.723,9.04,0.00574341,0.00390314,0.0017849,0.00184896,0.000801673,0.000321572,0
22.30795179,0.093658333,21.99547,20.577301,18.735828,18.104248,17.601488,14.749,14.418,12.661,9.11,0.0112491,0.00837773,0.00398493,0.00306561,0.00264208,0.00260575,0
11.25565549,0.114363889,21.843796,20.826662,18.974216,18.364527,17.986168,14.972,14.791,11.613,8.61,0.00401804,0.00319868,0.000727286,0.000279544,0.00118793,0.000918468,0
23.61624273,0.142058333,22.3013,21.875843,20.300196,19.319939,18.860346,15.506,15.56,12.634,9.098,0,0,0.00123058,0.000720869,0.00333498,0.00259763,0
23.56349381,0.147736111,21.989025,21.503542,19.855837,19.226336,18.727528,15.629,15.459,12.6,9.025,0.00649562,0.00510546,0.00156051,0.0015335,0.00171259,0.00137762,0
9.04067634,0.153625,21.284582,19.739544,18.247332,17.660501,17.315033,14.533,14.276,11.876,8.865,0.00336461,0.00296384,0,0,0.00605902,0.00513775,0
23.49657741,0.161927778,23.049492,21.363346,19.728695,19.072126,18.763502,15.598,15.472,12.531,8.931,0.026879,0.0205702,0.00682533,0.0051657,0.00939306,0.00803118,0
23.49657741,0.162058333,23.049492,21.363346,19.728695,19.072126,18.763502,15.598,15.472,12.531,8.931,0.0207302,0.0157309,0.00602269,0.00565848,0.00625029,0.00547986,0
15.3254265,0.180536111,22.677818,21.37475,19.930069,18.776798,18.186041,15.897,15.571,12.234,8.704,0.00248099,0.00236789,0.000860288,0.000848852,0.000911461,0.000624156,0
9.08629286,0.193311111,21.806826,20.458675,19.113134,17.935234,17.259453,14.877,14.723,12.121,8.426,0,0,0,0,0.00589927,0.00308938,0
10.4801513,0.198686111,22.990864,21.196676,19.687464,18.650026,18.019251,15.59,15.455,12.497,8.911,0.0240581,0.0185075,0,0,0.00813949,0.00597446,0
21.61423409,0.555808333,22.057379,21.646574,19.902689,19.169056,18.619129,15.576,15.532,12.353,9.204,0.00156079,0.00138766,0,0,0.000502549,0.000413827,0
10.40985558,0.628219444,23.446859,21.573492,19.968798,19.198467,18.681168,15.609,15.54,12.305,8.881,0.00388379,0.00401072,0.00247078,0.00124536,0.00202243,0.00187005,0
22.3006232,0.642341667,22.079788,20.802193,19.534128,19.039455,18.61488,15.822,15.506,12.251,9.306,0.00507565,0.00427159,0.00191697,0.00143572,0.000804555,0.000245059,0
23.7845229,0.723788889,22.201496,21.056635,19.416368,18.862707,18.498953,15.697,15.271,12.397,8.508,0.00230881,0.00193489,0.00142587,0.00142622,0.000875614,0.000733241,0
8.66326703,0.872513889,22.067726,20.934837,19.754477,19.27239,18.981014,16.11,15.786,12.581,9.101,0.0695878,0.0545133,0,0,0,0,0
