Index Lower Bound,Index Upper Bound,Magnitude 1,Magnitude 2,Filter?
-0.2682964773129827,1.8838520328685373,modelMag_u,modelMag_g,True
-0.7835050537766213,3.9257272759988444,modelMag_u,modelMag_r,True
-0.3402615903825792,4.926928257049246,modelMag_u,modelMag_i,True
-0.048887280912910835,6.093331725357356,modelMag_u,modelMag_z,True
3.86141995521126,8.59858004478874,modelMag_u,w2mpro,True
-0.5744259873219172,2.1010926539885855,modelMag_g,modelMag_r,True
-0.3017605232150955,3.272871634326208,modelMag_g,modelMag_i,True
0.0012695282038528433,4.4276193606850365,modelMag_g,modelMag_z,True
3.8955883193346894,6.9415545378081704,modelMag_g,w2mpro,True
-0.48500703071021156,1.9294514751546554,modelMag_r,modelMag_i,True
-0.011229309643524088,2.9134515318657455,modelMag_r,modelMag_z,True
3.421012399323105,5.147559029248322,modelMag_r,w1mpro,True
3.911215866679658,5.360212704748912,modelMag_r,w2mpro,True
5.063994402542706,7.747434168885867,modelMag_r,w3mpro,True
7.351043179663535,11.608956820336463,modelMag_r,w4mpro,True
0.22588065441293248,1.2318971233648446,modelMag_i,modelMag_z,True
2.8544463496276835,3.8198393646580318,modelMag_i,w1mpro,True
2.942961145730888,4.434181711411969,modelMag_i,w2mpro,True
3.455989421791793,7.461153435351065,modelMag_i,w3mpro,True
5.958794999402297,11.106919286311989,modelMag_i,w4mpro,True
2.3858051280834935,3.3741948719165062,modelMag_z,w2mpro,True
2.748571965224933,6.551428034775068,modelMag_z,w3mpro,True
5.185943012153199,10.262628416418227,modelMag_z,w4mpro,True
0.11183931499037136,4.1310178278667715,w1mpro,w3mpro,True
2.53581402672804,7.855614544700533,w1mpro,w4mpro,True
0.03202087798172126,3.507979122018279,w2mpro,w3mpro,True
2.393330048944256,7.295241379627171,w2mpro,w4mpro,True
